Country,Admin1,SubDiv,Year,List,Cause,Sex,Frmat,IM_Frmat,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
4030,,,1974,08A,A085,2,01,01,9455,0,1,1,0,1,2,0,3,6,9,13,23,44,120,270,294,711,1357,1926,2102,1420,1152,,,0,0,0,0,0
4030,,,1974,08A,A086,1,01,01,1524,0,0,0,0,0,0,0,1,3,2,6,10,13,24,28,30,79,157,272,300,267,332,,,0,0,0,0,0
4030,,,1974,08A,A086,2,01,01,1734,0,0,0,0,1,0,0,2,0,0,0,4,7,3,17,20,50,120,254,356,402,498,,,0,0,0,0,0
4030,,,1974,08A,A087,1,01,01,280,0,0,0,0,0,0,0,1,3,4,4,4,8,14,26,22,43,50,53,29,14,5,,,0,0,0,0,0
4030,,,1974,08A,A087,2,01,01,255,0,0,0,0,0,0,1,0,3,4,2,6,10,13,19,14,40,32,47,22,28,14,,,0,0,0,0,0
4030,,,1974,08A,A088,1,01,01,27,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,4,8,3,2,2,1,1,,,0,0,0,0,0
4030,,,1974,08A,A088,2,01,01,15,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,2,1,3,1,0,2,,,0,0,0,0,0
4030,,,1974,08A,A089,1,01,01,92,45,2,0,2,0,1,2,0,0,0,1,1,4,4,6,6,5,6,5,1,0,1,,,0,0,1,7,37
4030,,,1974,08A,A089,2,01,01,73,34,5,2,1,0,2,0,0,1,1,0,1,1,0,0,3,5,4,3,3,4,3,,,0,0,1,7,26
4030,,,1974,08A,A090,1,01,01,127,23,2,2,0,0,1,0,3,0,2,1,0,1,3,6,6,6,12,16,16,15,12,,,0,0,0,1,22
4030,,,1974,08A,A090,2,01,01,113,15,2,0,1,1,0,1,4,0,2,1,0,2,4,4,1,5,8,10,25,12,15,,,0,0,0,0,15
4030,,,1974,08A,A091,1,01,01,14,6,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,3,0,1,0,0,,,0,0,1,0,5
4030,,,1974,08A,A091,2,01,01,10,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,0,,,0,0,0,1,2
4030,,,1974,08A,A092,1,01,01,2664,708,41,16,7,7,17,10,15,6,11,15,20,29,56,71,81,191,255,355,325,211,217,,,0,11,84,148,465
4030,,,1974,08A,A092,2,01,01,2239,599,40,11,8,4,16,5,11,6,6,6,8,20,24,39,49,102,174,279,345,235,252,,,0,7,66,131,395
4030,,,1974,08A,A093,1,01,01,2357,1,0,0,0,0,0,0,1,0,0,3,3,16,43,108,155,275,446,486,411,216,192,,,1,0,0,0,1
4030,,,1974,08A,A093,2,01,01,1349,0,1,0,0,0,0,1,0,2,1,2,4,8,19,48,45,110,208,267,257,187,189,,,0,0,0,0,0
4030,,,1974,08A,A094,1,01,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
