Country,Admin1,SubDiv,Year,List,Cause,Sex,Frmat,IM_Frmat,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
4210,,,2014,104,C051,2,00,01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
4210,,,2014,104,C059,1,00,01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
4210,,,2014,104,C059,2,00,01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
4210,,,2014,104,C060,2,00,01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4210,,,2014,104,C062,1,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4210,,,2014,104,C069,1,00,01,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,6,1,2,0,0,0,0,0,0,0
4210,,,2014,104,C069,2,00,01,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,2,2,1,2,2,2,0,0,0,0,0
4210,,,2014,104,C07,1,00,01,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,5,1,5,7,0,0,0,0,0,0,0
4210,,,2014,104,C07,2,00,01,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,2,1,2,1,0,0,0,0,0
4210,,,2014,104,C089,1,00,01,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
4210,,,2014,104,C089,2,00,01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0
4210,,,2014,104,C099,1,00,01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0
4210,,,2014,104,C099,2,00,01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0
4210,,,2014,104,C100,1,00,01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
4210,,,2014,104,C109,1,00,01,70,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,20,14,8,6,5,3,0,0,0,0,0,0,0
4210,,,2014,104,C109,2,00,01,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,4,4,0,0,0,0,1,0,0,0,0,0
